account_name,year,quarter,value,unit
파생상품거래이익,2021,Q4,878003585,KRW
파생상품거래이익,2022,Q1,505912710,KRW
파생상품거래이익,2022,Q2,1960530061,KRW
파생상품거래이익,2022,Q3,9525555242,KRW
파생상품거래이익,2022,Q4,14684267490,KRW
파생상품거래이익,2023,Q1,2833888780,KRW
파생상품거래이익,2023,Q2,5237800178,KRW
파생상품거래이익,2023,Q3,8327689503,KRW
파생상품거래이익,2023,Q4,11118752767,KRW
파생상품거래이익,2024,Q1,663974161,KRW
파생상품거래이익,2024,Q2,3538976948,KRW
파생상품거래이익,2024,Q3,4150604963,KRW
파생상품거래이익,2024,Q4,4736717094,KRW
파생상품거래이익,2025,Q1,5394589387,KRW
파생상품거래이익,2025,Q2,5489203680,KRW
파생상품거래이익,2025,Q3,5604632773,KRW
당기손익인식금융자산평가손실,2020,Q1,5.89058E+11,KRW
당기손익인식금융자산평가손실,2020,Q2,2.09907E+11,KRW
당기손익인식금융자산평가손실,2020,Q3,2.79229E+11,KRW
당기손익인식금융자산평가손실,2020,Q4,92586850666,KRW
당기손익인식금융자산평가손실,2021,Q1,2.30448E+11,KRW
당기손익인식금융자산평가손실,2021,Q2,25656849520,KRW
당기손익인식금융자산평가손실,2021,Q3,2.77256E+11,KRW
당기손익인식금융자산평가손실,2021,Q4,3.97338E+11,KRW
당기손익인식금융자산평가손실,2022,Q1,1.26627E+11,KRW
당기손익인식금융자산평가손실,2022,Q2,62718772117,KRW
당기손익인식금융자산평가손실,2022,Q3,3.87012E+11,KRW
당기손익인식금융자산평가손실,2022,Q4,2.40735E+11,KRW
당기손익인식금융자산평가손실,2023,Q1,94022533975,KRW
당기손익인식금융자산평가손실,2023,Q2,1.4679E+11,KRW
당기손익인식금융자산평가손실,2023,Q3,1.14967E+11,KRW
당기손익인식금융자산평가손실,2023,Q4,22608838229,KRW
당기손익인식금융자산평가손실,2024,Q1,15340981393,KRW
당기손익인식금융자산평가손실,2024,Q2,7271651135,KRW
당기손익인식금융자산평가손실,2024,Q3,10989481303,KRW
당기손익인식금융자산평가손실,2024,Q4,2.58258E+11,KRW
당기손익인식금융자산평가손실,2025,Q1,74806620625,KRW
당기손익인식금융자산평가손실,2025,Q2,2642041461,KRW
당기손익인식금융자산평가손실,2025,Q3,673394622,KRW
당기손익인식금융자산평가이익,2020,Q1,,KRW
당기손익인식금융자산평가이익,2020,Q2,1.30593E+11,KRW
당기손익인식금융자산평가이익,2020,Q3,5102649613,KRW
당기손익인식금융자산평가이익,2020,Q4,5.21268E+11,KRW
당기손익인식금융자산평가이익,2021,Q1,1.39884E+11,KRW
당기손익인식금융자산평가이익,2021,Q2,1.52278E+11,KRW
당기손익인식금융자산평가이익,2021,Q3,27225077626,KRW
당기손익인식금융자산평가이익,2021,Q4,14000469135,KRW
당기손익인식금융자산평가이익,2022,Q1,3795814411,KRW
당기손익인식금융자산평가이익,2022,Q2,71973266287,KRW
당기손익인식금융자산평가이익,2022,Q3,8793416474,KRW
당기손익인식금융자산평가이익,2022,Q4,5256319793,KRW
당기손익인식금융자산평가이익,2023,Q1,33350116755,KRW
당기손익인식금융자산평가이익,2023,Q2,1.5309E+11,KRW
당기손익인식금융자산평가이익,2023,Q3,1.29659E+11,KRW
당기손익인식금융자산평가이익,2023,Q4,4.52438E+11,KRW
당기손익인식금융자산평가이익,2024,Q1,5.14488E+11,KRW
당기손익인식금융자산평가이익,2024,Q2,3.5186E+11,KRW
당기손익인식금융자산평가이익,2024,Q3,3.67289E+11,KRW
당기손익인식금융자산평가이익,2024,Q4,3.42196E+11,KRW
당기손익인식금융자산평가이익,2025,Q1,52388940842,KRW
당기손익인식금융자산평가이익,2025,Q2,1.22308E+12,KRW
당기손익인식금융자산평가이익,2025,Q3,1.71977E+12,KRW
금융자산처분손실,2020,Q1,202978099,KRW
금융자산처분손실,2020,Q2,202978099,KRW
금융자산처분손실,2020,Q3,202978099,KRW
금융자산처분손실,2020,Q4,202978099,KRW
금융자산처분손실,2021,Q1,4021197,KRW
금융자산처분손실,2021,Q2,4021197,KRW
금융자산처분손실,2021,Q3,4021197,KRW
금융자산처분손실,2021,Q4,4021197,KRW
금융자산처분손실,2022,Q1,15663240224,KRW
금융자산처분손실,2022,Q2,15663245224,KRW
금융자산처분손실,2022,Q3,15663279614,KRW
금융자산처분손실,2022,Q4,15674917512,KRW
금융자산처분손실,2023,Q1,528440655,KRW
금융자산처분손실,2023,Q2,528440655,KRW
금융자산처분손실,2023,Q3,528440655,KRW
금융자산처분손실,2023,Q4,528440655,KRW
금융자산처분손실,2024,Q1,391982158,KRW
금융자산처분손실,2024,Q2,391982158,KRW
금융자산처분손실,2024,Q3,391982158,KRW
금융자산처분손실,2024,Q4,399003418,KRW
금융자산처분손실,2025,Q1,6283929636,KRW
