재무계정,사업부,상세항목,기간,수치,단위
영업이익,실리콘,영업이익,2024-12-31,26,백만원
영업이익,실리콘,영업이익률(%),2024-12-31,0.004,백만원
영업이익,실리콘,QoQ(%),2024-12-31,-,백만원
영업이익,실리콘,YoY(%),2024-12-31,흑자전환,백만원
영업이익,건자재,영업이익,2024-12-31,35,백만원
영업이익,건자재,영업이익률(%),2024-12-31,0.013,백만원
영업이익,건자재,QoQ(%),2024-12-31,-0.014,백만원
영업이익,건자재,YoY(%),2024-12-31,-0.033,백만원
영업이익,도료,영업이익,2024-12-31,40,백만원
영업이익,도료,영업이익률(%),2024-12-31,0.008,백만원
영업이익,도료,QoQ(%),2024-12-31,-0.031,백만원
영업이익,도료,YoY(%),2024-12-31,-0.015,백만원
영업이익,기타,영업이익,2024-12-31,-7,백만원
영업이익,기타,영업이익률(%),2024-12-31,-0.005,백만원
영업이익,기타,QoQ(%),2024-12-31,적자지속,백만원
영업이익,기타,YoY(%),2024-12-31,적자지속,백만원
당기순이익,전사(공통),당기순이익 (총계),2024-12-31,-51,백만원
당기순이익,전사(공통),당기순익률(%),2024-12-31,-0.003,백만원
당기순이익,전사(공통),QoQ(%),2024-12-31,적자지속,백만원
당기순이익,전사(공통),YoY(%),2024-12-31,적자전환,백만원
당기순이익,전사(공통),지배순이익,2024-12-31,-51,백만원
매출액,전사(공통),매출액 (총계),2025-03-31,1599,백만원
매출액,전사(공통),QoQ(%),2025-03-31,-0.004,백만원
매출액,전사(공통),YoY(%),2025-03-31,0.001,백만원
매출액,실리콘,실리콘,2025-03-31,774,백만원
매출액,건자재,건자재,2025-03-31,232,백만원
매출액,도료,도료,2025-03-31,458,백만원
매출액,기타,기타,2025-03-31,135,백만원
영업이익,전사(공통),영업이익 (총계),2025-03-31,103,백만원
영업이익,전사(공통),영업이익률(%),2025-03-31,0.007,백만원
영업이익,전사(공통),QoQ(%),2025-03-31,0.005,백만원
영업이익,전사(공통),YoY(%),2025-03-31,-0.003,백만원
영업이익,실리콘,영업이익,2025-03-31,21,백만원
영업이익,실리콘,영업이익률(%),2025-03-31,0.003,백만원
영업이익,실리콘,QoQ(%),2025-03-31,-0.021,백만원
영업이익,실리콘,YoY(%),2025-03-31,0.651,백만원
영업이익,건자재,영업이익,2025-03-31,24,백만원
영업이익,건자재,영업이익률(%),2025-03-31,0.01,백만원
영업이익,건자재,QoQ(%),2025-03-31,-0.032,백만원
영업이익,건자재,YoY(%),2025-03-31,-0.047,백만원
영업이익,도료,영업이익,2025-03-31,56,백만원
영업이익,도료,영업이익률(%),2025-03-31,0.012,백만원
영업이익,도료,QoQ(%),2025-03-31,0.041,백만원
영업이익,도료,YoY(%),2025-03-31,0.002,백만원
영업이익,기타,영업이익,2025-03-31,-4,백만원
영업이익,기타,영업이익률(%),2025-03-31,-0.003,백만원
영업이익,기타,QoQ(%),2025-03-31,적자지속,백만원
영업이익,기타,YoY(%),2025-03-31,적자지속,백만원
당기순이익,전사(공통),당기순이익 (총계),2025-03-31,44,백만원
당기순이익,전사(공통),당기순익률(%),2025-03-31,0.003,백만원
당기순이익,전사(공통),QoQ(%),2025-03-31,흑자전환,백만원
당기순이익,전사(공통),YoY(%),2025-03-31,-0.09,백만원
당기순이익,전사(공통),지배순이익,2025-03-31,44,백만원
매출액,전사(공통),매출액 (총계),2025-06-30,1705,백만원
매출액,전사(공통),QoQ(%),2025-06-30,0.007,백만원
매출액,전사(공통),YoY(%),2025-06-30,-0.004,백만원
매출액,실리콘,실리콘,2025-06-30,797,백만원
매출액,건자재,건자재,2025-06-30,252,백만원
매출액,도료,도료,2025-06-30,518,백만원
